2019-12-09 08:56:54 INFO  BrowserLaunch:9 - initializing the properties files.....
2019-12-09 08:57:01 INFO  BrowserLaunch:11 - launched the browser :- firefox
2019-12-09 08:57:24 INFO  BrowserLaunch:13 - navigating to the URL :-https://www.amazon.in/
2019-12-09 08:57:24 INFO  BrowserLaunch:15 - seleted the item :- Books By using the locator :- searchDropdownBox
2019-12-09 08:57:25 INFO  BrowserLaunch:17 - entered the text into the textbox :- HarryPotter By using the locator :- #twotabsearchtextbox
2019-12-09 08:57:27 INFO  BrowserLaunch:19 - clicked on the SearchButton using the locator :- //div[@class='nav-search-submit nav-sprite']//input[@class='nav-input']
2019-12-09 13:05:10 INFO  BrowserLaunch:9 - initializing the properties files.....
2019-12-09 13:05:19 INFO  BrowserLaunch:11 - launched the browser :- firefox
2019-12-09 13:05:23 INFO  BrowserLaunch:13 - navigating to the URL :-https://www.amazon.in/
2019-12-09 13:05:23 INFO  BrowserLaunch:15 - seleted the item :- Books By using the locator :- searchDropdownBox
2019-12-09 13:05:24 INFO  BrowserLaunch:17 - entered the text into the textbox :- HarryPotter By using the locator :- #twotabsearchtextbox
2019-12-09 13:05:27 INFO  BrowserLaunch:19 - clicked on the SearchButton using the locator :- //div[@class='nav-search-submit nav-sprite']//input[@class='nav-input']
2019-12-09 13:05:48 INFO  BrowserLaunch:9 - initializing the properties files.....
2019-12-09 13:06:31 INFO  BrowserLaunch:11 - launched the browser :- firefox
2019-12-09 13:06:33 INFO  BrowserLaunch:13 - navigating to the URL :-https://www.amazon.in/
2019-12-09 13:06:33 INFO  BrowserLaunch:15 - seleted the item :- Books By using the locator :- searchDropdownBox
2019-12-09 13:06:34 INFO  BrowserLaunch:17 - entered the text into the textbox :- HarryPotter By using the locator :- #twotabsearchtextbox
2019-12-09 13:06:35 INFO  BrowserLaunch:19 - clicked on the SearchButton using the locator :- //div[@class='nav-search-submit nav-sprite']//input[@class='nav-input']
2019-12-09 13:07:08 INFO  BrowserLaunch:9 - initializing the properties files.....
2019-12-09 13:08:28 INFO  BrowserLaunch:11 - launched the browser :- firefox
2019-12-09 13:08:37 INFO  BrowserLaunch:13 - navigating to the URL :-https://www.amazon.in/
2019-12-09 13:08:38 INFO  BrowserLaunch:15 - seleted the item :- Books By using the locator :- searchDropdownBox
2019-12-09 13:08:38 INFO  BrowserLaunch:17 - entered the text into the textbox :- HarryPotter By using the locator :- #twotabsearchtextbox
2019-12-09 13:08:40 INFO  BrowserLaunch:19 - clicked on the SearchButton using the locator :- //div[@class='nav-search-submit nav-sprite']//input[@class='nav-input']
2019-12-09 16:07:40 INFO  BrowserLaunch:9 - initializing the properties files.....
2019-12-09 16:08:57 INFO  BrowserLaunch:11 - launched the browser :- firefox
2019-12-09 16:09:01 INFO  BrowserLaunch:13 - navigating to the URL :-https://www.amazon.in/
2019-12-09 16:09:02 INFO  BrowserLaunch:15 - seleted the item :- Books By using the locator :- searchDropdownBox
2019-12-09 16:09:02 INFO  BrowserLaunch:17 - entered the text into the textbox :- HarryPotter By using the locator :- #twotabsearchtextbox
2019-12-09 16:09:04 INFO  BrowserLaunch:19 - clicked on the SearchButton using the locator :- //div[@class='nav-search-submit nav-sprite']//input[@class='nav-input']
2019-12-09 16:10:02 INFO  BrowserLaunch:9 - initializing the properties files.....
2019-12-09 16:11:11 INFO  BrowserLaunch:11 - launched the browser :- firefox
2019-12-09 16:11:15 INFO  BrowserLaunch:13 - navigating to the URL :-https://www.amazon.in/
2019-12-09 16:11:15 INFO  BrowserLaunch:15 - seleted the item :- Books By using the locator :- searchDropdownBox
2019-12-09 16:11:15 INFO  BrowserLaunch:17 - entered the text into the textbox :- HarryPotter By using the locator :- #twotabsearchtextbox
2019-12-09 16:11:17 INFO  BrowserLaunch:19 - clicked on the SearchButton using the locator :- //div[@class='nav-search-submit nav-sprite']//input[@class='nav-input']
2019-12-09 16:11:47 INFO  BrowserLaunch:9 - initializing the properties files.....
2019-12-09 16:11:54 INFO  BrowserLaunch:11 - launched the browser :- firefox
2019-12-09 16:11:58 INFO  BrowserLaunch:13 - navigating to the URL :-https://www.amazon.in/
2019-12-09 16:11:58 INFO  BrowserLaunch:15 - seleted the item :- Books By using the locator :- searchDropdownBox
2019-12-09 16:11:58 INFO  BrowserLaunch:17 - entered the text into the textbox :- HarryPotter By using the locator :- #twotabsearchtextbox
2019-12-09 16:12:00 INFO  BrowserLaunch:19 - clicked on the SearchButton using the locator :- //div[@class='nav-search-submit nav-sprite']//input[@class='nav-input']
2019-12-09 16:12:17 INFO  BrowserLaunch:9 - initializing the properties files.....
2019-12-09 16:13:21 INFO  BrowserLaunch:11 - launched the browser :- firefox
2019-12-09 16:13:24 INFO  BrowserLaunch:13 - navigating to the URL :-https://www.amazon.in/
2019-12-09 16:13:24 INFO  BrowserLaunch:15 - seleted the item :- Books By using the locator :- searchDropdownBox
2019-12-09 16:13:25 INFO  BrowserLaunch:17 - entered the text into the textbox :- HarryPotter By using the locator :- #twotabsearchtextbox
2019-12-09 16:13:27 INFO  BrowserLaunch:19 - clicked on the SearchButton using the locator :- //div[@class='nav-search-submit nav-sprite']//input[@class='nav-input']
2019-12-09 16:13:40 INFO  BrowserLaunch:9 - initializing the properties files.....
2019-12-09 16:14:45 INFO  BrowserLaunch:11 - launched the browser :- firefox
2019-12-09 16:14:49 INFO  BrowserLaunch:13 - navigating to the URL :-https://www.amazon.in/
